id,corner_index,outline,point,type,latitude,longitude,northing,easting,northingWGS84,eastingWGS84,license_id
456,NULL,1,17,I,23.06666667,67.7,2551491.759,366831.5586,2551491.759,366831.5586,925494231
457,NULL,1,18,I,23.06666667,67.82361111,2551384.517,379495.2493,2551384.517,379495.2493,925494231
458,NULL,1,19,I,23.25,67.82361111,2571682.847,379659.1742,2571682.847,379659.1742,925494231
459,NULL,1,20,I,23.25,67.93055556,2571598.191,390600.174,2571598.191,390600.174,925494231
460,NULL,1,21,I,23.45138889,67.93055556,2593895.558,390765.1526,2593895.558,390765.1526,925494231
461,NULL,1,22,I,23.45138889,68.23333333,2593698.322,421692.9028,2593698.322,421692.9028,925494231
462,NULL,1,1,I,22.75,68.05,2516157.996,402461.0262,2516157.996,402461.0262,1593941708
463,NULL,1,2,I,22.75,68.55,2515915.434,453798.4871,2515915.434,453798.4871,1593941708
464,NULL,1,3,I,22.25,68.55,2460567.823,453632.132,2460567.823,453632.132,1593941708
465,NULL,1,4,I,22.25,68.05,2460806.184,402109.7801,2460806.184,402109.7801,1593941708
466,NULL,1,5,I,22.75,68.05,2516157.996,402461.0262,2516157.996,402461.0262,1593941708
467,NULL,1,3,I,24.13333333,91,2670217.835,296788.7083,2670518.383,296529.1621,1095325384
468,NULL,1,4,I,24.13333333,90.33333333,2671346.831,229022.9214,2671647.406,228763.643,1095325384
469,NULL,1,5,I,23.66666667,90.33333333,2619647.903,228047.3671,2619948.682,227788.0643,1095325384
470,NULL,1,6,I,23.66666667,90.58333333,2619193.408,253553.7789,2619494.175,253294.3776,1095325384
471,NULL,1,7,I,23.16666667,90.58333333,2563811.757,252624.8893,2564112.736,252365.4623,1095325384
472,NULL,1,8,I,23.16935836,91.32611017,2563041.3,328678.9,2563342.247,328419.1907,1095325384
473,NULL,1,1,I,23.91929955,91.23862346,2646190.3,320742.9,2646490.933,320483.2513,1095325384
474,NULL,1,2,I,23.91666667,91,2646222.112,296447.548,2646522.755,296187.9934,1095325384
475,NULL,2,1,E,23.89861111,90.401,2645214.809,235421.783,2645515.484,235162.4656,1095325384
476,NULL,2,2,E,23.95944444,90.45180555,2651859.503,240717.7635,2652160.149,240458.4288,1095325384
477,NULL,2,3,E,23.83027778,90.60944444,2637271.023,256522.2796,2637571.718,256262.8759,1095325384
478,NULL,2,4,E,23.78513889,90.56722222,2632344.251,252134.4644,2632644.968,251875.0753,1095325384
479,NULL,2,5,E,23.83333333,90.47438889,2637848.179,242767.043,2638148.88,242507.693,1095325384
480,NULL,2,6,E,23.89861111,90.401,2645214.809,235421.783,2645515.484,235162.4656,1095325384
481,NULL,1,1,I,27.78555556,70.12456944,3073695.112,610777.0423,3073967.364,610774.1783,1101963559
482,NULL,1,2,I,27.78555556,70.07333333,3073649.976,605729.6244,3073922.228,605726.75,1101963559
483,NULL,1,3,I,27.87777778,70.07361111,3083865.926,605667.6079,3084138.199,605664.7331,1101963559
484,NULL,1,4,I,27.87777778,70.19555556,3083977.08,617670.6354,3084249.354,617667.7853,1101963559
485,NULL,1,5,I,27.87472778,70.19708333,3083640.681,617824.3179,3083912.954,617821.4681,1101963559
486,NULL,1,1,I,28.325,69.36930556,3133007.592,536196.6927,3133266.552,536183.7057,918759341
487,NULL,1,2,I,28.24881944,69.41128333,3124582.292,540339.7977,3124841.194,540326.8391,918759341
488,NULL,1,3,I,28.21972222,69.37888889,3121348.825,537172.5181,3121607.705,537159.5379,918759341
489,NULL,1,4,I,28.32333333,69.34527778,3132816.005,533842.1731,3133074.964,533829.1699,918759341
490,NULL,1,5,I,28.325,69.36930556,3133007.592,536196.6927,3133266.552,536183.7057,918759341
491,NULL,1,1,I,27.66666667,70.075,3060493.899,606009.1965,3060752.36,605996.6896,1101969426
492,NULL,1,2,I,27.66666667,69.85,3060320.805,583820.1692,3060579.264,583807.51,1101969426
493,NULL,1,3,I,27.68333333,69.85,3062166.915,583807.4479,3062425.388,583794.7886,1101969426
494,NULL,1,4,I,27.87638889,69.91668333,3083598.663,590223.0588,3083857.283,590210.4429,1101969426
495,NULL,1,5,I,28,69.91668333,3097291.296,590120.4113,3097550.011,590107.7945,1101969426
496,NULL,1,6,I,28,70.35833333,3097696.079,633543.4729,3097954.798,633531.1535,1101969426
497,NULL,1,1,I,26.53333333,68.38333333,2934662.383,438574.4513,2934919.97,438560.7905,1101969887
498,NULL,1,2,I,26.53333333,68.81205556,2934528.429,481279.2406,2934786.014,481265.8757,1101969887
