id,country,area,well_name,field,block,state,latitude,longitude,northing,easting,northingWGS84,eastingWGS84,well_type,location,total_depth,result,rt_elevation,water_depth,ss_wellhead,platform,slot,spheroid,epsg_code,drilling_contractor_id,license_id,operator_id,region_id,rig_id,onhire_date,release_date,spud_date,total_days
1101902269,Pakistan,Pakistan,"Chachar 1",NULL,"East Kandkhot",Sindh,28.301222222222222,69.35469444444445,0,0,3130622.0682302853,534777.117443017,Exploration,Land,1802,Gas,7.6,-70,0,NULL,NULL,NULL,NULL,18,918759341,94,153800183,40,NULL,NULL,"1995-01-27 10:00:00.000000",NULL
1101981794,Pakistan,Pakistan,"Shahdadpur 1",NULL,Nawabshah,Sindh,26.16208,68.5325,2893486.535,453284.139,2893717.42024757,453277.76019383135,Exploration,Land,4100,"Dry Hole P&A",8.21,-26.54,0,NULL,NULL,NULL,NULL,43,1101969887,59,153800183,146,NULL,NULL,"1984-11-20 12:00:00.000000",119
1102650373,Pakistan,Pakistan,"Shahpur Chakar 1",NULL,Nawabshah,Sindh,26.179890555555556,68.68863222222222,2895412.07,468890.806,2895643.1277220957,468886.55729122565,Exploration,Land,3371,Drilling,11,-24.4,0,NULL,NULL,NULL,NULL,87,1101969887,94,153800183,148,NULL,NULL,"2005-10-31 12:00:00.000000",NULL
1102740438,Pakistan,Pakistan,"Sara 4",NULL,NULL,Sindh,27.8350594444444,70.0910394444444,3079161.043,607425.595,3079408.96145688,607440.336822444,Exploration,Land,2490,Drilling,9,-70,0,NULL,NULL,NULL,NULL,NULL,NULL,94,153800183,NULL,NULL,NULL,NULL,NULL
1104245445,India,"Kutch Offshore",GSDW3A-1,NULL,GS-DWN-2000/2,Gujarat,20.1933611111111,67.8778,2233275.276,382750.268,2233275.276,382750.268,Exploration,Offshore,4300,Drilling,24,3046,0,NULL,NULL,NULL,NULL,10,810504720,63,153800183,11,NULL,NULL,NULL,NULL
1171116106,Pakistan,Pakistan,"Savi Ragha 1",NULL,"Block 34",Baluchistan,31.1909416666667,70.2012583333333,3451384.812,614454.178,3451384.812,614454.178,Exploration,Land,2977,NULL,8,-689,0,NULL,NULL,"Everest 1830",NULL,NULL,NULL,17,153800183,NULL,NULL,NULL,"1994-01-27 12:00:00.000000",116
1208663069,Indonesia,Mahakam,"Bouganville 1",NULL,Ambalat,Kalimantan,3.54012777777778,118.656577777778,10391460,684012,NULL,NULL,Exploration,Offshore,4891.4,"Dry Hole P&A",21.3,1905.3,0,NULL,NULL,WGS-84,NULL,64,NULL,96,248075237,114,NULL,NULL,"2000-06-16 11:01:00.000000",NULL
1468456460,India,"KG Basin",KD-1-2A,NULL,KG-OS-DW,"Bay of Bengal",15.5660833333333,81.0651333333333,1720939.958,506983.56,1720939.958,506983.56,Exploration,Offshore,2725,"Dry Hole P&A",17,630,1,NULL,NULL,NULL,NULL,46,1078992168,63,-46540566,102,NULL,NULL,"2001-01-26 12:00:00.000000",NULL
1490931268,India,NEC-25,NEC-4,NULL,NEC-OSN-97/2,Orissa,20.8478877777778,88.0062555555556,0,0,2305640.301,604688.579,NULL,Offshore,4642,"Dry Hole P&A",NULL,53.3,0,NULL,NULL,NULL,NULL,54,-975739785,61,-46540562,NULL,NULL,NULL,"1987-05-29 12:00:00.000000",343
1525708692,Bangladesh,Bangladesh,"Saldanadi 1",NULL,NULL,Onshore,23.6749166666667,91.1721388888889,0,0,2619430.23309203,313600.684848586,NULL,Offshore,2511,Gas,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,67,-61727124,NULL,NULL,NULL,NULL,NULL
